Language,Morning greetings
Abkhaz,"Уа, Шьыжьы бзиа (Ua, Š’yž’y bzia)"
Adyghe,Уипчэдыжь шІу
Afrikaans,"Goeiemôre
 Môre"
Aklan,Mayad nga agahon
Albanian (Gheg),Mir-mëngjes
Albanian (Tosk),Mirëmëngjes
Aleut,Qilachxizax̂
Alsatian,"Güete Morge
 güete Morga"
Altay,"Јакшылыкту таҥла (Ĵakšılıktu tañla)
 Јакшы таҥ (Ĵakšı tañ)"
Amharic,"እንደምን አደርክ? (əndämən addärk?) ＞m
 እንደምን አደርሽ? (əndämən addärš?) ＞f
 አንደምን አደሩ? (əndämən addäru?) frm
 [how did you pass the night?]"
"Arabic
(Egyptian)","(ṣabā il kẖayr) صباح الخير
 response - (ṣabā in noor) صباح النّور"
"Arabic
(Lebanese)",Saba7 el khayr
"Arabic
(Modern Standard)",(ṣabāḥul kẖayr) صباح الخير
"Arabic
(Moroccan)",(ṣbah lkḥīr) صباح الخير
Aramaic,Safro bricho
"Armenian
(Eastern)","Բարի' լույս: (Bari luys)
 Աստծո բարին: (Asttzo barin) - response"
"Armenian
(Western)","Բարի լոյս: (Paree looys)
 Աստուծոյ բարին: (Asdoodzo pareen) - response"
Aragonese,Buen diya
Arapaho,"Nii’óóke’
 Hii3eti’ nohkuseic"
Assamese,সুপ্ৰভাত (xuprôbhat)
Asturian,Bonos díes
Azerbaijani,Sabahınız xeyir
Balinese,Rahajeng semeng
Bambara,"I ni sɔgɔma (sg)
 Aw ni sɔgɔma (pl)"
Bashkir,"хәйерле ирте
 (xäyyerlye irtye)"
Basque,Egun on
Bavarian,"Guadn moing
 Moing"
Belarusian,Добрай раніцы (Dobraj ranicy)
Bemba,"Mwaikaleni
 'Mwaombeni
 Mwashibukeni
 Eya mukwai (reply)"
Bengali,সুপ্রভাত (Shuprôbhat)
Bhojpuri,राम राम (raam raam)
Bikol,"Marhay na aga
 Dyos marhay na aga
 Marhay na pagka-aga"
Bislama,Gudmoning
Bosnian,Dobro jutro
Breton,Demat
Bulgarian,Добро утро (Dobro utro)
Burmese,မဂႆလာပၝ (min-ga-la-ba)
Cape Verdean Creole,Bon dia
Catalan,Bon dia
Cebuano,Maayong Buntag
Central Dusun,"Kopisanangan dongkosuabon
 Osonong kosuabon"
Chabacano de Cavite,Buenas dias
Chabacano de Zamboanga,Buenas dias
"Chamorro
(Guam dialect)","Buenas dias
 Buenas dihas"
"Chamorro
(North Marianas dialect)",Buenas dihas
Chechen,"Iуьйре дика йойла (Jüyre dika yoyla)
 Iуьйре дика хуьлда хьан (Jüyre dika xülda ẋan) - sg
 Iуьйре дика хуьлда шун (Jüyre dika xülda şun) - pl"
Cherokee,"ᎣᏍᏓ ᏑᎾᎴᎢ (Osda sunalei)
 ᎣᏍᏓ ᏒᎾᎴᎢ (Osda svnalei)"
Cheyenne,"Pėhévevóonā'o
 É-peve-vóona'a (It's a good morning)"
Chichewa,"Mwauka bwanji?
 Mwadzuka bwanji?
 Ndadzuka bwino (reply)"
"Chinese
(Cantonese)",早晨 (jóusàhn)
"Chinese
(Hakka)","安早 (on1zo3)
 早 (zo3)
 恁會早 (an3voi5zo3)"
"Chinese
(Mandarin)","早安 (zǎo'ān)
 早上好 (zǎoshànghǎo)
 早晨好 (zǎochénhǎo)
 你早 (nǐ zǎo)"
